2270-2-8-3,7458-63-83-18
5189-41-61-62,1302-43-78-81
4145-25-9-78,3419-5-44-83
3404-52-64-28,1592-89-15-72
2098-51-11-34,9168-93-77-97
5977-35-96-88,5859-64-94-92
1286-12-76-19,763-91-38-81
644-72-45-63,1862-26-14-43
6726-63-21-63,4831-23-62-58
8641-32-95-16,7846-87-84-42
7326-2-32-77,4406-5-82-87
7997-18-66-47,3796-26-38-81
6689-26-6-48,6889-68-95-70
8721-92-94-55,4713-40-4-87
3058-36-21-63,67-15-30-51
9384-58-89-61,828-45-87-5
9450-76-28-64,8541-33-4-36
2687-38-70-80,4301-38-12-69
8269-40-82-11,5482-32-62-84
9827-40-33-5,7893-21-90-42
7032-33-11-9,1353-41-75-1
1134-13-5-79,9816-94-81-84
1184-72-43-42,106-34-84-18
4253-5-33-8,9625-9-47-10
8401-18-97-14,7822-38-15-26
7787-20-14-42,9848-13-79-77
6375-86-52-20,1243-58-44-84
1602-47-8-25,5422-90-40-59
100-6-28-42,2287-78-50-20
7080-42-74-78,1046-75-18-95
839-39-7-80,6841-25-13-92
1028-70-50-12,5361-72-34-24
9771-52-67-20,5260-21-45-21
3591-62-56-71,7525-6-26-53
3092-70-70-7,736-73-60-24
7809-71-13-27,9726-74-12-51
4740-98-58-70,2395-40-54-21
8197-47-10-75,2987-74-79-90
3680-1-13-23,9339-67-41-58
2337-13-95-84,888-85-42-24
1714-74-31-2,2094-17-94-13
8177-53-33-60,8103-50-11-99
6770-13-36-94,4465-12-45-29
1010-75-17-89,6544-63-32-58
7198-29-86-68,9241-28-83-63
5007-5-89-2,4691-28-52-14
8077-85-19-53,3052-80-91-38
9056-7-14-96,1287-46-41-69
8696-48-45-88,8942-21-60-12
2889-2-49-14,5138-73-95-84
2405-16-77-14,3970-28-38-84
1158-15-42-21,7825-92-57-35
5676-78-74-6,9854-25-7-24
8284-15-57-89,3078-97-12-92
7453-92-93-45,3359-19-50-74
266-27-44-38,598-49-35-89
7116-51-83-64,1940-40-17-31
3767-58-86-18,7355-41-57-34
9284-8-71-24,8273-55-39-82
4288-8-37-78,968-69-93-99
6918-42-80-23,7045-45-46-93
2879-51-48-88,4248-56-69-7
2874-65-85-88,29-69-36-39
1300-7-6-9,8361-13-93-37
7775-19-86-99,9538-50-34-76
720-84-44-95,2132-26-96-51
111-13-65-35,7780-29-41-80
4730-65-25-90,155-76-44-39
6221-98-1-61,5185-2-10-44
246-86-46-88,8114-84-42-35
8206-31-50-39,2148-15-21-80
5794-80-16-64,2113-49-57-95
7827-26-36-71,2955-28-84-61
6768-2-54-97,5932-89-64-40
6138-7-96-66,8848-70-28-65
2904-36-40-50,5486-14-41-88
8125-84-75-79,4631-11-68-2
5054-51-20-86,2003-59-22-66
8205-75-30-28,8085-44-11-6
3815-95-56-51,6042-38-16-39
1336-54-45-73,2937-61-16-14
7590-42-40-66,7262-34-68-20
5464-80-92-58,4866-34-3-50
508-41-66-50,833-49-80-32
5529-47-14-91,5553-13-40-94
7293-99-58-15,4285-12-1-68
9111-16-18-63,1202-75-33-71
5190-32-22-93,2905-97-69-67
3520-80-89-71,4641-44-99-44
9165-7-55-38,7710-70-10-32
1187-78-99-37,3528-15-31-56
2505-61-25-48,4623-49-43-24
4366-78-45-46,4365-58-6-35
6234-77-50-2,3268-58-67-82
8249-18-31-29,6699-69-64-2
9667-43-56-74,4706-93-12-29
7455-13-67-48,601-47-69-80
9372-63-42-88,4578-94-19-70
7772-66-5-47,5897-79-23-46
4638-70-78-47,9540-53-35-65
1458-90-64-41,7079-85-7-76
2772-68-78-82,808-77-68-22
416-7-2-57,8758-64-49-73
5067-98-53-87,4657-97-72-86
873-43-47-96,1924-62-38-5
7783-12-48-85,1902-78-87-30
7867-15-85-30,6013-98-59-31
132-82-40-97,5934-54-48-72
2818-27-14-23,3342-52-13-24
5999-60-3-68,460-52-71-91
9955-66-77-55,8555-54-22-5
7986-84-56-33,7876-41-49-60
1167-75-84-13,9471-67-52-30
6685-7-64-41,8423-25-83-16
6913-9-80-49,8340-32-65-22
8074-98-61-67,7309-48-34-38
5595-43-72-45,447-51-90-99
3843-35-24-90,2470-77-81-19
2328-86-8-22,2571-76-52-43
9717-28-40-59,2124-19-50-11
3653-63-11-6,1869-30-77-81
6153-48-58-30,4075-80-99-88
8575-90-47-86,9952-90-61-98
750-50-79-81,5246-34-90-31
6651-82-54-8,5417-14-70-74
7954-14-1-87,7218-47-5-74
3865-28-91-67,9957-3-81-96
6549-33-67-91,131-32-75-83
6106-20-41-85,1655-6-36-28
326-78-84-73,7791-71-54-34
9087-38-69-13,6679-26-88-12
3437-15-2-41,1893-10-96-92
5567-28-32-76,4650-47-8-58
3529-35-6-17,3126-83-48-78
8819-68-14-11,4264-76-46-93
4748-17-20-43,2758-18-42-64
328-49-3-36,3365-78-66-92
7447-67-67-81,7507-70-94-66
7807-31-75-21,5293-86-76-33
5108-8-46-80,6330-61-8-56
5736-81-39-11,7671-72-70-86
3013-61-91-29,2692-35-71-12
7709-73-44-55,4117-92-27-59
3268-24-12-40,1031-82-71-95
8992-49-19-48,6976-71-49-87
9153-12-34-55,1017-29-66-36
4816-48-85-20,9851-94-3-58
4387-24-64-63,2336-96-70-37
4948-76-34-46,5686-8-24-38
3944-16-54-38,3184-48-90-69
7998-48-8-95,4474-82-18-2
1585-25-32-19,6367-21-74-54
872-14-61-88,1377-66-76-95
9331-95-8-97,205-48-4-32
6810-64-98-35,3703-93-28-11
7615-28-69-70,6003-57-54-14
4644-11-37-36,9349-62-89-4
470-34-21-9,6727-44-59-10
8669-62-32-7,4736-51-18-41
1692-2-87-31,449-54-19-50
5205-21-45-17,5361-72-28-51
7880-99-73-90,1250-11-4-15
9377-24-1-73,5916-93-75-61
8386-87-9-59,8959-75-63-49
9823-59-80-9,3265-96-69-19
6781-40-48-80,4248-52-17-56
5030-24-43-74,9690-59-83-55
2784-71-96-31,4063-48-44-15
2148-84-84-3,5699-3-90-58
4963-76-42-33,4161-34-46-23
2465-86-24-86,2171-55-98-39
3678-43-98-38,8189-16-20-68
6893-94-72-46,4419-71-64-49
9364-50-59-94,6085-18-79-74
7219-89-33-18,4652-17-8-9
1847-51-82-25,8533-67-14-84
4413-45-7-78,2284-86-40-15
779-37-81-45,6256-63-8-94
9256-86-46-68,5952-43-23-37
1254-28-63-85,2653-72-13-42
9124-33-6-11,4170-95-77-1
3663-17-10-45,7349-70-44-3
6153-2-26-90,4891-34-15-80
8167-47-70-46,7676-70-46-72
9633-70-7-52,523-15-94-46
4015-37-34-80,6745-32-24-92
2265-95-92-25,1011-52-94-82
8431-64-14-43,4713-22-11-81
7012-70-99-54,7852-19-85-7
5228-44-6-42,7365-82-95-43
9519-2-26-63,2205-34-95-86
2452-13-23-96,9381-38-4-16
6548-90-23-28,3037-2-11-89
2680-94-90-71,9305-1-88-58
6153-47-85-18,6339-85-68-39
2622-79-30-39,308-68-47-4
411-66-81-78,4389-64-51-17
6223-10-45-79,8904-89-75-97
5770-37-14-12,8657-62-79-45
1361-13-39-6,2796-63-9-43
2736-89-44-1,6797-88-9-39
3128-47-25-96,4527-31-61-39
4742-74-56-3,5224-67-56-22
8589-75-98-23,7158-2-39-67
3135-97-84-90,6327-4-70-43
7434-63-18-56,5947-66-99-53
2651-78-88-47,7433-24-4-64
7828-95-57-16,500-70-51-83
7451-9-38-87,9291-14-7-69
2950-6-21-22,1886-82-92-8
1690-72-49-60,2832-98-14-36
3938-43-22-69,1827-24-42-9
8699-69-38-41,366-84-77-26
8846-99-47-92,277-16-58-41
8915-21-14-22,4814-39-33-89
5003-20-71-33,8491-52-47-74
6375-30-60-34,1361-29-62-42
6589-84-87-14,628-19-29-40
8249-41-29-24,2953-29-62-7
4394-48-64-63,9977-44-23-13
4886-27-80-48,908-81-58-59
648-29-3-14,8846-54-57-66
492-5-67-32,626-23-26-7
1398-94-96-58,6545-34-90-46
3363-44-15-82,917-46-85-83
3668-56-9-84,3202-19-66-63
286-88-62-75,6988-22-42-2
9222-2-76-52,1555-30-96-31
2454-97-61-11,4012-78-21-36
5323-92-67-1,9321-82-27-39
9409-54-56-59,5988-98-7-33
5745-89-88-58,3837-50-57-51
5273-65-69-94,9629-17-53-62
2000-81-86-81,2096-46-42-17
2839-38-94-75,4813-78-3-15
2486-37-8-64,3890-36-27-43
7093-36-9-25,5658-78-51-70
9184-36-75-86,6834-99-82-7
8927-29-38-25,9533-63-30-35
6540-66-8-30,184-29-82-25
5468-42-99-2,2190-40-42-9
7356-8-62-80,1155-83-49-81
4573-17-56-22,6983-32-48-16
9760-68-85-98,8556-74-55-23
5487-11-69-13,8899-64-60-7
171-46-66-50,3171-85-70-78
9720-26-52-39,1621-2-51-84
9160-79-59-79,9445-63-99-89
5947-67-78-55,2089-81-57-17
8206-85-28-73,9340-59-13-96
9655-51-6-4,8305-58-74-77
7138-66-2-11,3021-66-89-54
1735-94-12-33,6344-14-43-90
5689-17-55-83,982-98-49-39
9215-43-40-72,8808-47-37-71
2666-22-43-55,3738-55-47-16
3352-9-42-81,8381-31-18-3
6934-14-19-18,6393-88-88-92
8114-30-45-63,9678-78-25-63
8460-43-29-35,1666-30-49-91
2713-76-60-83,5063-48-17-41
3501-29-34-37,8459-77-86-25
6394-87-17-49,1623-44-23-87
1013-38-41-2,4150-97-74-42
9571-95-37-5,2008-72-63-98
4163-98-54-96,3980-12-26-63
